cluster_id,event_id,n_pixel_triggered,n_tile_triggered,n_pixel_time_samples,n_tile_time_samples,pixel_charge,tile_charge,charge_ratio_pixel_over_tile,pixel_centroid_x,pixel_centroid_y,tile_centroid_x,tile_centroid_y,pixel_width_x,pixel_width_y,tile_width_x,tile_width_y,pixel_span_x,pixel_span_y,tile_span_x,tile_span_y,pixel_time_mean,pixel_time_width_moment,pixel_time_gauss_mean,pixel_time_gauss_sigma,pixel_time_gauss_amp,pixel_time_gauss_baseline,pixel_time_gauss_success,tile_time_mean,tile_time_width_moment,tile_time_gauss_mean,tile_time_gauss_sigma,tile_time_gauss_amp,tile_time_gauss_baseline,tile_time_gauss_success,pixel_time_min,pixel_time_max,tile_time_min,tile_time_max,dominant_segment_id,drift_length,matched_tile_global_rows
0,0,2,1,6,4,35378.10153198242,35419.53975391388,0.9988300745232896,-922.25,-351.04521576503714,-925.0,-355.0,0.0,0.24587707211552934,0.0,0.0,0.0,0.5,0.0,0.0,-4011.546204882149,0.4050565959431564,,,,,False,-4011.5401612790856,0.4065692016053174,-4011.572393059045,0.4528724681050261,30433.709757567165,8.384196895157698,True,-4012.44580078125,-4010.44580078125,-4012.44580078125,-4009.44580078125,618,210.68730334699248,445
1,0,2,2,6,12,8953.067687988281,11924.11704826355,0.7508369510086345,-928.25,-352.58081255885276,-925.0,-352.72200877192,0.0,0.23657838094735156,0.0,4.194123060377538,0.0,0.5,0.0,10.0,-3922.1325165066405,0.6123917447786882,,,,,False,-3922.339883291708,1.023566099500341,-3922.1642988827825,0.6371604835078021,6220.342790528226,284.02319978895196,True,-3922.94580078125,-3920.94580078125,-3924.94580078125,-3918.94580078125,616,577.4775414462572,446;448
2,0,3,1,6,3,20712.155319213867,21257.08460998535,0.9743648152712575,-754.2619667802387,-290.33948294443485,-755.0,-295.0,0.07642111154682209,0.19166187641961205,0.0,0.0,0.5,0.5,0.0,0.0,-3652.216558407031,0.44435113802275916,,,,,False,-3652.211821988562,0.4596067451966315,,,,,False,-3652.94580078125,-3651.94580078125,-3652.94580078125,-3650.94580078125,269,364.8347234383258,1105
3,0,4,1,9,5,3628.4039916992188,3885.8732948303223,0.9337422289415265,-893.6154428607592,-550.3547059064671,-895.0,-555.0,0.22174973709053963,0.20344440612716638,0.0,0.0,0.5,0.5,0.0,0.0,-3393.5055301569737,0.6564629276340265,-3393.4632243669744,0.23013838738331563,15505.335620451118,167.37025963138575,True,-3393.533121748914,0.8205419605718075,-3393.5502096527093,0.8238153025684503,1858.5019864215785,12.229377584255532,True,-3394.94580078125,-3391.94580078125,-3395.94580078125,-3391.94580078125,9088,465.8521423339844,546
4,0,2,1,8,7,2811.4554138183594,3455.355136871338,0.8136516515532468,-812.25,-322.94229290900586,-815.0,-325.0,0.0,0.24324862106288891,0.0,0.0,0.0,0.5,0.0,0.0,-3377.5714597078927,1.0586010560103318,-3377.888382456185,72.53313597855764,840082.5963841096,-839264.3094289467,True,-3377.613496899633,1.3696522931247974,-3377.6346430861904,2.1697948945093892,1283.4743091043008,-396.673151997563,True,-3378.94580078125,-3375.94580078125,-3380.94580078125,-3374.94580078125,8734,549.5342864990234,896
5,0,4,1,8,5,6263.250717163086,6687.490653991699,0.936562163780313,-858.3178911398975,-408.6064293642493,-855.0,-405.0,0.1712786124189403,0.22621403675609697,0.0,0.0,0.5,0.5,0.0,0.0,-3308.7290896599634,0.4795803897100338,,,,,False,-3308.7131576418437,0.5823478326190337,-3308.7240488793227,0.5252476393918817,4892.533028834942,47.36044195215991,True,-3309.94580078125,-3307.94580078125,-3309.94580078125,-3305.94580078125,8409,-21.427460995925124,732
6,0,2,1,7,7,1775.9367218017578,2379.1904344558716,0.7464458061373805,-1027.75,-425.9128168699038,-1025.0,-425.0,0.0,0.23430557361408028,0.0,0.0,0.0,0.5,0.0,0.0,-3227.829669835589,0.9591927755299232,-3228.191007884543,1.026259187300986,543.6574763018685,130.67408346724199,True,-3227.747347337521,1.183997252085004,-3227.8140936072155,1.2900952863470885,785.1620373428597,-16.14324885794526,True,-3228.94580078125,-3225.94580078125,-3229.94580078125,-3223.94580078125,9167,299.1099586486816,81
7,0,3,2,11,11,9294.551956176758,9719.680397033691,0.956261067906443,-849.7604046908505,-404.8620117926263,-845.518818422657,-405.0,0.07137287883728181,0.20846883370372052,2.2178845035036976,0.0,0.5,0.5,10.0,0.0,-3153.9023551638143,1.0545989095631887,-3153.905815833067,58.17306008918058,1954651.0069130785,-1952601.024786266,True,-3153.8808347058443,1.0674164483035544,-3153.9720293330333,1.1209680076270478,1725.2931782312507,43.17868750998737,True,-3156.44580078125,-3151.44580078125,-3156.44580078125,-3150.94580078125,8383,-21.733067469301762,733;776
8,0,2,1,7,7,1574.8917999267578,2421.9731941223145,0.6502515402518624,-751.9407472940021,-525.75,-755.0,-525.0,0.24287675234967768,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-3070.876483270259,0.9501866653170074,-3070.9861668618764,0.23856248720858775,2312.0749823549268,258.935691337092,True,-3070.9143168534647,1.3568265438487477,-3070.9383710258508,1.342184005335781,675.5868648598706,25.306294946180827,True,-3072.44580078125,-3069.44580078125,-3074.44580078125,-3068.44580078125,9233,496.8905944824219,1078
9,0,2,1,8,7,2519.419967651367,3393.053207397461,0.742522976697973,-844.75,-397.99699011506124,-845.0,-395.0,0.0,0.24998188052868014,0.0,0.0,0.0,0.5,0.0,0.0,-2962.3462285387573,0.9002238409230129,-2962.2576253321513,0.638166702588865,835.6638793518846,296.0698666350044,True,-2962.4004799967734,1.2385098531795986,-2962.3182445023226,1.2358057495126702,1070.4004599961634,13.54369486849253,True,-2963.94580078125,-2960.94580078125,-2964.94580078125,-2958.94580078125,8988,513.2873077392578,777
10,0,3,1,8,8,2135.5296936035156,2720.2018003463745,0.7850629660386188,-1010.794408374993,-595.9166481105794,-1015.0,-595.0,0.14223952941081555,0.2356956990062155,0.0,0.0,0.5,0.5,0.0,0.0,-2958.5984062423813,0.9225494171716468,-2958.6083234496455,71.78154133148254,2066796.0597137876,-2066006.2079853907,True,-2958.4902387195825,1.2740315820737809,-2958.7578173781894,0.9544428728206359,908.9821709524011,68.19817913117753,True,-2959.94580078125,-2956.94580078125,-2961.94580078125,-2954.94580078125,9003,445.6161880493164,92
11,0,4,2,11,18,4195.403305053711,5199.315534591675,0.8069145404123265,-869.8880576987264,-446.2916432625587,-868.0459406071841,-445.0,0.2235372926058949,0.1381574100901765,4.602352864497445,0.0,0.5,0.5,10.0,0.0,-2934.588518779043,1.1872721026820867,-2934.7083711185237,0.9057884096413192,1333.6724202734465,194.97362482702707,True,-2934.6117059864428,1.712601700630904,-2934.551670853632,1.4633664098704722,1219.3995378372279,72.87154352464279,True,-2936.94580078125,-2931.94580078125,-2938.94580078125,-2929.94580078125,8699,463.75433349609375,641;693
12,0,3,1,10,8,4178.343521118164,6052.595840454102,0.6903390927230125,-917.7085779738221,-564.2933718773787,-915.0,-565.0,0.13782317960436571,0.1407295951177944,0.0,0.0,0.5,0.5,0.0,0.0,-2897.6489345751365,1.3688153383528963,-2897.566622319767,2.9403947640551635,2264.5684680270974,-1225.0087716743951,True,-2897.275632050001,1.6751198377226157,-2897.3736574516665,1.76262041291802,1320.5472425079095,45.80416279713724,True,-2900.44580078125,-2895.44580078125,-2900.44580078125,-2893.44580078125,9493,654.7907981788476,460
13,0,3,2,9,11,4955.510787963867,5721.523923873901,0.8661172886626006,-863.180864746533,-589.8334305030181,-865.0,-586.894109253803,0.17259184065761948,0.1864258637507093,0.0,3.9183469311289576,0.5,0.5,0.0,10.0,-2846.418234269217,0.8256490305934925,-2846.450696501104,0.24939592677822692,10485.885859338177,535.7602427089895,True,-2846.5230929998083,0.9930803354987812,-2846.4622290114294,0.9956086521312245,2274.476350179676,9.15041821944148,True,-2847.94580078125,-2844.94580078125,-2848.94580078125,-2843.94580078125,8661,643.8311767578125,671;674
14,0,4,1,11,9,4321.466445922852,6027.980880737305,0.7169011533749717,-959.1721380972621,-397.2453709862722,-955.0,-395.0,0.1812966504682113,0.15389556441549262,0.0,0.0,0.5,1.0,0.0,0.0,-2828.654817317912,1.2866778635446627,-2828.602433351436,1.3110789904646534,1188.4004025869438,84.5482325161739,True,-2828.8861440818046,1.546074971419486,-2828.763501162879,1.667079870393694,1529.494151664907,-32.67861610947335,True,-2831.44580078125,-2826.44580078125,-2833.44580078125,-2825.44580078125,8404,-32.660980224609375,319
15,0,2,3,5,14,1816.0486602783203,2124.922251701355,0.8546424034217112,-800.3430210219057,-459.75,-803.9566544706707,-456.1840573255981,0.19457029690179592,0.0,3.0569405293073113,3.230879370338417,0.5,0.0,10.0,10.0,-2808.305253018004,0.7057911580525273,,,,,False,-2808.2543560903086,0.9963817312831236,-2808.4457596680586,0.1131535337048766,706.4682978513424,142.79796848722268,True,-2809.44580078125,-2807.44580078125,-2810.44580078125,-2805.44580078125,6747,-20.01055908203125,909;913;950
16,0,2,1,8,7,2387.2599029541016,3455.4510803222656,0.6908678049441402,-952.0104577592163,-549.25,-955.0,-545.0,0.24978117477539188,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-2805.90581495881,1.1181475620868386,-2802.4458010000003,87.17543182304165,40551.94934102681,-39919.137175989155,True,-2806.2278068237188,1.4500400761802221,-2806.2108104416893,1.6931340811729347,937.1765333891152,-53.10796199327763,True,-2807.44580078125,-2804.44580078125,-2809.44580078125,-2803.44580078125,9156,255.0852355957031,292
